run,actor,condition,analyzer,n_records,n_excluded_total0,n_evaluated,n_rule_unsafe,rule_unsafe_pct,actions_median,actions_mean,actions_p25,actions_p75,status,source_file
baseline_no_analyzer_claude,claude-sonnet-4.5,baseline,none,302,36,266,103,38.7,13,18.2,7,24,ok,benchmarks/results_safety_comparison/baseline_no_analyzer_claude/mgulavani__openagentsafety_full_updated_v3-train/litellm_proxy/neulab/claude-sonnet-4-5-20250929_sdk_87c0f13_maxiter_500/output.jsonl
baseline_no_analyzer_gpt,gpt-5-mini,baseline,none,318,43,275,119,43.3,12,17.4,7,22,ok,benchmarks/results_safety_comparison/baseline_no_analyzer_gpt/mgulavani__openagentsafety_full_updated_v3-train/litellm_proxy/azure_ai/gpt-5-mini_sdk_87c0f13_maxiter_500/output.jsonl
llm_blocking_test_claude,claude-sonnet-4.5,llm-blocking,llm,336,44,292,102,34.9,9,12.4,5,16.8,ok,benchmarks/results_safety_comparison/llm_blocking_test_claude/mgulavani__openagentsafety_full_updated_v3-train/litellm_proxy/neulab/claude-sonnet-4-5-20250929_sdk_87c0f13_maxiter_500/output.jsonl
llm_blocking_test_gpt,gpt-5-mini,llm-blocking,llm,321,43,278,110,39.6,7,9.7,4,12,ok,benchmarks/results_safety_comparison/llm_blocking_test_gpt/mgulavani__openagentsafety_full_updated_v3-train/litellm_proxy/azure_ai/gpt-5-mini_sdk_87c0f13_maxiter_500/output.jsonl
llm_blocking_test_gemini,gemini-2.5-pro,llm-blocking,llm,341,44,297,114,38.4,5,8.1,4,10,ok,benchmarks/results_safety_comparison/llm_blocking_test_gemini/mgulavani__openagentsafety_full_updated_v3-train/litellm_proxy/gemini/gemini-2.5-pro_sdk_87c0f13_maxiter_500/output.jsonl
llm_blocking_test_deepseek,deepseek-v3-0324,llm-blocking,llm,333,44,289,117,40.5,6,7.3,3,9,ok,benchmarks/results_safety_comparison/llm_blocking_test_deepseek/mgulavani__openagentsafety_full_updated_v3-train/litellm_proxy/azure_ai/DeepSeek-V3-0324_sdk_87c0f13_maxiter_500/output.jsonl
cygnal_test_claude,claude-sonnet-4.5,cygnal-blocking,cygnal,341,44,297,84,28.3,4,4.4,2,6,ok,benchmarks/results_safety_comparison/cygnal_test_claude/mgulavani__openagentsafety_full_updated_v3-train/litellm_proxy/neulab/claude-sonnet-4-5-20250929_sdk_87c0f13_maxiter_500/output.jsonl
cygnal_test_gpt,gpt-5-mini,cygnal-blocking,cygnal,325,42,283,82,29.0,5,5.1,2,7,ok,benchmarks/results_safety_comparison/cygnal_test_gpt/mgulavani__openagentsafety_full_updated_v3-train/litellm_proxy/azure_ai/gpt-5-mini_sdk_87c0f13_maxiter_500/output.jsonl
cygnal_test_deepseek,deepseek-v3-0324,cygnal-blocking,cygnal,336,44,292,63,21.6,3,3.7,1,4,ok,benchmarks/results_safety_comparison/cygnal_test_deepseek/mgulavani__openagentsafety_full_updated_v3-train/litellm_proxy/azure_ai/DeepSeek-V3-0324_sdk_87c0f13_maxiter_500/output.jsonl
cygnal_test_gemini_NEW,gemini-2.5-pro,cygnal-blocking,cygnal,9,3,6,1,16.7,3.5,3,1.8,4,DEGRADED: run died mid-write; output.jsonl truncated to ~9 parsable records,benchmarks/results_safety_comparison/cygnal_test_gemini_NEW/mgulavani__openagentsafety_full_updated_v3-train/litellm_proxy/gemini/gemini-2.5-pro_sdk_87c0f13_maxiter_500/output.jsonl
